order_id;customer;paid;created_at
10995512897427943677;Brady Rutherford;false;1682-05-21T20:34:07.848438928Z
3665584585961466518;Elsie Wiegand;false;1694-11-05T14:25:24.733394880Z
7905560175896125057;Ike Volkman;false;1722-04-09T17:55:08.249924963Z
5079595133960974058;Esther Sipes;true;2030-09-04T11:15:41.435231878Z
7756509257529365011;Alessandro Hudson;false;1887-12-16T21:46:47.713801877Z
2078329471436146353;Veda Boehm;false;2206-10-14T03:59:55.306853553Z
8923861022595464675;Miles Dibbert;true;2181-08-05T11:58:41.366588326Z
4156473973563850442;Casandra Raynor;true;1941-05-11T10:32:20.750406646Z
7338610541495294753;Colton Senger;true;2061-07-18T14:11:01.812075006Z
5201363519032104201;Elyse Fadel;false;2191-04-14T19:27:25.693636358Z
17797903692758439417;Kenneth Mayert;true;2148-09-26T04:17:10.785013130Z
3426133122211353114;Brycen Bailey;true;1976-05-22T04:36:32.868688600Z
1614323144910926994;Orrin Hackett;true;2036-07-22T10:22:32.728582640Z
10822762412421421330;Krystina Gleason;true;1975-05-04T01:05:52.360378374Z
9921851175798104813;Tommie Denesik;false;1830-05-19T22:02:48.082968441Z
6176465064060685626;Fannie Ledner;false;1682-09-11T14:10:21.105344697Z
3068441835863120076;Ahmed Schiller;true;1851-05-31T13:50:41.080663130Z
8515021365005327066;Ignatius Miller;false;1900-12-06T22:26:43.983126467Z
17923603220978862080;Lois Rodriguez;true;1913-06-10T18:41:15.867686822Z
4599337484058766786;Fanny Gerlach;true;2171-03-18T20:37:31.689443663Z
18250378862835957864;Zion Hessel;false;1784-03-29T03:48:20.740986668Z
3310473834404258285;Tabitha Turcotte;false;2198-09-27T21:31:19.789015127Z
1462544088627733065;Orlando West;false;2004-12-30T04:38:42.340445420Z
5310281128999459912;Martine Breitenberg;true;1770-06-08T20:13:14.539235802Z
10303232719871965018;Wilfrid Powlowski;true;2136-07-08T04:16:17.049754675Z
10123681364764185476;Ephraim Carroll;false;1859-12-15T21:55:45.753129180Z
14576070540962215115;Maud Fritsch;true;1808-06-03T05:28:04.796452762Z
8779833363422480291;Dorothy Rice;true;2209-12-20T17:47:39.856448527Z
13248279354223656374;Bradford Auer;false;2155-12-10T14:28:16.040342509Z
